#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU1	GSL|100.0|MK402142|SH1883563.08FU;k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis,s:Umbelopsis dimorpha	k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis	k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis,s:Umbelopsis dimorpha	No hit
OTU2768	SS|0.9800|AB598100|SH1156366.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	No hit
OTU2769	GS|0.0|None;No hit	No hit	No hit	No hit
OTU2770	SS|0.8100|KT957782|SH1522985.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Leotiomycetes	k:Fungi,p:Ascomycota	No hit
OTU2771	SS|1.0000|JN845135|SH1217550.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Geastraceae,g:Geastrum	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Geastraceae,g:Geastrum,s:Geastrum triplex	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Geastraceae,g:Geastrum	No hit
OTU2773	SS|1.0000|HQ607908|SH1560642.08FU;k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales	k:Fungi	No hit
OTU2774	SS|1.0000|KC222784|SH1562626.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Magnaporthales,f:Magnaporthaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Magnaporthales,f:Magnaporthaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Magnaporthales,f:Magnaporthaceae	No hit
OTU2775	SS|0.9000|UDB0667180|SH1646386.08FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales	k:Fungi,p:Basidiomycota,c:Microbotryomycetes	No hit
OTU2776	GS|93.4|MN644490|SH3591231.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Diversisporales,f:Diversisporaceae,g:Corymbiglomus,s:Corymbiglomus globiferum	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Diversisporales,f:Diversisporaceae,g:Corymbiglomus,s:Corymbiglomus globiferum	No hit	No hit
OTU2777	SS|0.9000|KT751058|SH1191185.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mytilinidales,f:Gloniaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mytilinidales,f:Gloniaceae	No hit
OTU2778	SS|1.0000|KF819809|SH1558615.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Cystangium,s:Cystangium nothofagi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula	No hit
OTU2779	GS|90.0|KP413056|SH1243447.08FU;k:Fungi,p:Entorrhizomycota,c:Entorrhizomycetes,o:Talbotiomycetales,f:Talbotiomycetaceae,g:Talbotiomyces,s:Talbotiomyces calosporus	k:Fungi,p:Entorrhizomycota,c:Entorrhizomycetes,o:Talbotiomycetales,f:Talbotiomycetaceae,g:Talbotiomyces,s:Talbotiomyces calosporus	No hit	No hit
OTU2780	GS|100.0|KP687525|SH1619665.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Geastraceae,g:Geastrum	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Geastraceae,g:Geastrum	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Geastraceae,g:Geastrum	No hit
OTU2781	GS|98.6|KT203080|SH1506289.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
OTU2782	GS|97.6|UDB0325408|SH2720649.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota	k:Fungi	No hit
OTU2783	SS|0.8400|KF617784|SH1176552.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Acarosporales	k:Fungi,p:Ascomycota	No hit
OTU2784	GS|0.0|None;No hit	No hit	No hit	No hit
OTU2785	GS|99.0|UDB065338|SH2602940.08FU;k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	k:Fungi	No hit
OTU2786	GS|99.7|KP311426|SH1526207.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Squamanitaceae,g:Cystoderma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Squamanitaceae,g:Cystoderma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
OTU2787	SS|0.8400|KC460798|SH1524223.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	No hit
OTU2788	SS|1.0000|KU519011|SH1571409.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Tulostoma,s:Tulostoma pannonicum	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
OTU2789	SS|0.9900|JN889873|SH1518285.08FU;k:Fungi,p:Basidiomycota	k:Fungi	k:Fungi,p:Basidiomycota	No hit
OTU2790	SS|0.8500|JX456783|SH1561325.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales	k:Fungi	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales	No hit
OTU2791	SS|0.8200|MG932661|SH1571467.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Teratosphaeriaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales	No hit
OTU2792	GS|74.9|AB848513|SH1527397.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	No hit	No hit
OTU2793	GS|97.1|JF432968|SH1522841.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Clonostachys	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Clonostachys	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae	No hit
OTU2794	SS|1.0000|AB986474|SH1563553.08FU;k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Annulatascales,f:Annulatascaceae	k:Fungi	No hit
OTU2795	SS|1.0000|KJ182919|SH1540218.08FU;k:Fungi	k:Protista	k:Fungi	No hit
OTU2796	SS|1.0000|MN102427|SH3566192.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Marasmiaceae,g:Marasmius	k:Fungi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Marasmiaceae,g:Marasmius	No hit
OTU2797	GS|98.6|KC222768|SH1244406.08FU;k:Fungi	k:Fungi	k:Fungi	No hit
OTU2798	SS|0.9000|KT875181|SH1504299.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius,s:Cortinarius elaiops	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
OTU2799	SS|0.9900|AB968239|SH1642527.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Cruentomycena,s:Cruentomycena orientalis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae	No hit
OTU2800	SS|0.9900|MG707593|SH3565519.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	No hit
OTU2801	GS|99.7|JQ934841|SH1547057.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Phoma,s:Phoma adonidicola	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Phoma,s:Phoma adonidicola	k:Fungi	No hit
OTU2802	GS|99.7|HQ829349|SH1241168.08FU;k:Fungi,p:Basidiobolomycota,c:Basidiobolomycetes,o:Basidiobolales	k:Fungi,p:Basidiobolomycota,c:Basidiobolomycetes,o:Basidiobolales	No hit	No hit
OTU2803	SS|0.8400|KF617517|SH1544333.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota	No hit
OTU2804	SS|0.8600|AB520466|SH1149335.08FU;k:Fungi,p:Chytridiomycota,c:Rhizophlyctidomycetes,o:Rhizophlyctidales,f:Rhizophlyctidaceae,g:Rhizophlyctis	k:Fungi,p:Chytridiomycota,c:Rhizophlyctidomycetes,o:Rhizophlyctidales,f:Rhizophlyctidaceae,g:Rhizophlyctis	k:Fungi,p:Chytridiomycota,c:Rhizophlyctidomycetes,o:Rhizophlyctidales,f:Rhizophlyctidaceae,g:Rhizophlyctis	No hit
OTU2805	GS|93.1|UDB0780068|SH3597476.08FU;k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	No hit	No hit
OTU2806	GS|86.3|KT328898|SH1523569.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Cuniculitremaceae,g:Kockovaella	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Cuniculitremaceae,g:Kockovaella	No hit	No hit
OTU2807	SS|1.0000|HM230880|SH1186426.08FU;k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi	No hit
OTU2809	GS|100.0|KT270196|SH1555326.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	No hit
OTU2810	GS|99.7|MG825898|SH1513459.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Psathyrella,s:Psathyrella salina	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Psathyrella,s:Psathyrella salina	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Psathyrella,s:Psathyrella salina	No hit
OTU2811	GS|97.4|MG553064|SH1246790.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
OTU2812	GS|100.0|UDB0621435|SH1522280.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi	No hit
OTU2813	SS|0.9700|MK442611|SH2592639.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Phaeoseptoriella,s:Phaeoseptoriella zeae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae	No hit
OTU2814	GS|99.7|KC222830|SH1656668.08FU;k:Fungi	k:Fungi	k:Fungi	No hit
OTU2815	GS|100.0|KT751042|SH1543056.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae	k:Fungi,p:Ascomycota,c:Leotiomycetes	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae	No hit
OTU2816	GS|79.8|KF800298|SH1611548.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Auriculariales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Auriculariales	No hit	No hit
OTU2817	GS|99.3|KP114319|SH1194827.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Diatrypaceae,g:Monosporascus	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Diatrypaceae,g:Monosporascus	k:Fungi,p:Ascomycota,c:Sordariomycetes	No hit
OTU2820	SS|0.9700|KP889334|SH1180983.08FU;k:Fungi	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella	k:Fungi	No hit
OTU2821	GS|98.1|MT703411|SH1560503.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU2822	GS|98.7|KX776448|SH1235540.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Tetragoniomycetaceae,g:Tetragoniomyces,s:Tetragoniomyces uliginosus	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Tetragoniomycetaceae,g:Tetragoniomyces,s:Tetragoniomyces uliginosus	k:Fungi,p:Basidiomycota,c:Tremellomycetes	No hit
OTU2823	GS|98.6|JX385711|SH1525412.08FU;k:Fungi	k:Fungi	k:Fungi	No hit
OTU2824	GS|84.7|JX456687|SH1561322.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales	No hit	No hit
OTU2825	SS|1.0000|HM230880|SH1186426.08FU;k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi	No hit
OTU2826	GS|70.4|JQ666448|SH1247406.08FU;k:Fungi,p:Rozellomycota	k:Fungi,p:Rozellomycota	No hit	No hit
OTU2827	SS|0.9300|UDB0352728|SH2612384.08FU;k:Fungi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Atheliales,f:Tylosporaceae,g:Amphinema	k:Fungi	No hit
OTU2828	GS|100.0|UDB0202045|SH2726215.08FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales	No hit
OTU2829	SS|0.9300|LN615046|SH1650901.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	No hit
OTU2830	SS|0.9000|UDB014810|SH1539678.08FU;k:Fungi,p:Mucoromycota,c:Endogonomycetes	k:Fungi,p:Mucoromycota,c:Endogonomycetes	k:Fungi,p:Mucoromycota,c:Endogonomycetes	No hit
OTU2832	GS|100.0|UDB0333088|SH2724753.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales	No hit
OTU2833	GS|98.6|MN338567|SH1180260.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Lycoperdaceae,g:Bovista,s:Bovista plumbea	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Lycoperdaceae,g:Bovista,s:Bovista plumbea	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Lycoperdaceae	No hit
OTU2834	SS|1.0000|UDB008409|SH1571546.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Tremellodendropsidales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Tremellodendropsidales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Tremellodendropsidales	No hit
OTU2835	SS|0.8400|KT351650|SH1240292.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes	k:Fungi,p:Basidiomycota,c:Tremellomycetes	k:Fungi,p:Basidiomycota,c:Tremellomycetes	No hit
OTU2836	GS|81.5|KC965316|SH1177196.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	No hit	No hit
OTU2837	SS|1.0000|KT269670|SH1156472.08FU;k:Fungi	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi	No hit
OTU2840	GS|98.6|KF800520|SH1614502.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaeta	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaeta	No hit
OTU2841	GS|100.0|UDB0297954|SH2723560.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Clavicipitaceae,g:Pochonia	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Clavicipitaceae,g:Pochonia	k:Fungi	No hit
OTU2842	SS|1.0000|KP889792|SH1556777.08FU;k:Fungi	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales	k:Fungi	No hit
OTU2843	GS|0.0|None;No hit	No hit	No hit	No hit
OTU2844	SS|0.9900|FJ553063|SH1512630.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria	No hit
OTU2845	GS|97.5|MG925393|SH1552602.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Ruhlandiella,s:Ruhlandiella berolinensis	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Ruhlandiella,s:Ruhlandiella berolinensis	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Ruhlandiella	No hit
OTU2846	SS|0.8800|JX388102|SH1182531.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Auriculariales	k:Fungi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Auriculariales	No hit
OTU2847	SS|0.9600|MW215082|SH2725715.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae	k:Fungi	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae	No hit
OTU2848	GS|97.5|HQ021928|SH1236989.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Hyphodermataceae,g:Hyphoderma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Hyphodermataceae,g:Hyphoderma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Hyphodermataceae,g:Hyphoderma	No hit
OTU2849	SS|0.8700|KU144608|SH1529664.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora	No hit
OTU2850	SS|1.0000|UDB0780074|SH3597475.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Ruhlandiella	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Ruhlandiella	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Ruhlandiella	No hit
OTU2851	GS|99.7|KY430550|SH1650089.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Cystofilobasidiaceae,g:Cystofilobasidium,s:Cystofilobasidium macerans	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Cystofilobasidiaceae,g:Cystofilobasidium	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Cystofilobasidiaceae,g:Cystofilobasidium,s:Cystofilobasidium macerans	No hit
OTU2852	GS|96.3|MH908489|SH2705037.08FU;k:Fungi,p:Basidiomycota,c:Pucciniomycetes,o:Pucciniales,f:Pucciniastraceae,g:Uredinopsis,s:Uredinopsis filicina	k:Fungi,p:Basidiomycota,c:Pucciniomycetes,o:Pucciniales,f:Pucciniastraceae,g:Uredinopsis,s:Uredinopsis filicina	No hit	No hit
OTU2853	SS|0.8100|MG973240|SH2592897.08FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales,f:Lecanoraceae,g:Lecanora	k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales,f:Lecanoraceae,g:Lecanora	k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales,f:Lecanoraceae,g:Lecanora	No hit
OTU2854	SS|0.8700|UDB0193276|SH2731160.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota	No hit
OTU2855	GS|98.8|AB986359|SH1564665.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales	No hit
OTU2856	SS|0.9600|KY773995|SH1181673.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita australis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita australis	No hit
OTU2857	GS|84.4|KT728254|SH3332759.08FU;k:Fungi,p:Rozellomycota	k:Fungi,p:Rozellomycota	No hit	No hit
OTU2858	GS|89.5|LC544102|SH3568892.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Lulworthiales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Lulworthiales	No hit	No hit
OTU2859	GS|89.2|JX387924|SH2589896.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU2860	GS|98.1|HQ154269|SH1556125.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Serendipitaceae,g:Serendipita	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Serendipitaceae,g:Serendipita	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales	No hit
OTU2861	SS|0.9900|MW216294|SH1186361.08FU;k:Fungi	k:Fungi	k:Fungi	No hit
OTU2862	GS|89.2|KP889676|SH1186206.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes	k:Fungi,p:Ascomycota,c:Leotiomycetes	No hit	No hit
OTU2863	SS|1.0000|MN846554|SH1503852.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius,s:Cortinarius viscoviridis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
OTU2864	GS|100.0|LR026793|SH1644404.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium furcatum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium furcatum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium furcatum	No hit
OTU2865	SS|1.0000|UDB0613978|SH2739263.08FU;k:Rhizaria	k:Rhizaria	k:Rhizaria	No hit
OTU2866	GS|77.7|KP137073|SH1517017.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita	No hit	No hit
OTU2867	GS|99.3|KJ406758|SH1641391.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Teratosphaeriaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Teratosphaeriaceae	k:Fungi	No hit
OTU2868	GS|98.2|MH930375|SH2594176.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella	No hit
OTU2869	GS|75.2|KF206553|SH1247512.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU2870	SS|0.8100|KM041911|SH1552896.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi,p:Glomeromycota,c:Glomeromycetes	No hit
OTU2871	GS|72.8|MT236393|SH1552055.08FU;k:Fungi	k:Fungi	No hit	No hit
