#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU1	GS|100.0|CP000139_S002287548;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;	k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;	k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides	No hit
OTU518	SS|0.9900|EU169578_S000943350;k:Bacteria,p:"Proteobacteria"	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Phyllobacteriaceae,g:Mesorhizobium;	k:Bacteria,p:"Proteobacteria"	No hit
OTU519	GS|97.5|CP000473_S002290405;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp3,g:Candidatus_Solibacter;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp3,g:Candidatus_Solibacter;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp3,g:Candidatus_Solibacter	No hit
OTU521	SS|1.0000|X79731_S000008828;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Azospirillum;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU523	SS|0.9200|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU524	SS|0.9200|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU526	SS|1.0000|U87759_S000438671;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Bradyrhizobiaceae,g:Afipia;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	No hit
OTU532	SS|0.8800|FR733704_S002304661;k:Bacteria,p:"Proteobacteria"	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Rhodovibrio;	k:Bacteria,p:"Proteobacteria"	No hit
OTU533	SS|0.9900|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU534	SS|0.9900|AY996844_S000541156;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Streptosporangiaceae	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU544	SS|0.9300|KC109787_S003750313;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU545	GS|98.9|EF457379_S000834804;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1	No hit
OTU547	SS|1.0000|D86511_S000414138;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Acidiphilium;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	No hit
OTU553	SS|0.9100|D25311_S000413603;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Rhodoplanes;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	No hit
OTU557	SS|0.9000|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU563	GS|99.6|KF524364_S004054721;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micrococcaceae,g:Micrococcus;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micrococcaceae,g:Micrococcus;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micrococcaceae,g:Micrococcus	No hit
OTU567	SS|0.8700|FR733704_S002304661;k:Bacteria,p:"Proteobacteria"	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Rhodovibrio;	k:Bacteria,p:"Proteobacteria"	No hit
OTU571	SS|1.0000|KJ406703_S004088382;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Roseiarcaceae,g:Roseiarcus;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	No hit
OTU573	SS|0.9900|AJ458462_S000130885;k:Bacteria,p:"Actinobacteria"	k:Bacteria,p:"Actinobacteria",c:Thermoleophilia,o:Thermoleophilales,f:Thermoleophilaceae,g:Thermoleophilum;	k:Bacteria,p:"Actinobacteria"	No hit
OTU576	SS|0.8600|D86513_S000011943;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU579	SS|0.9800|KC109787_S003750313;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU585	SS|1.0000|AB529446_S001743183;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae,g:Dactylosporangium;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU589	SS|1.0000|Y07646_S000115138;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	No hit
OTU597	SS|0.9100|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU599	SS|1.0000|AF465803_S000841843;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter	No hit
OTU602	SS|1.0000|JQ436923_S003312544;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Endobacter;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	No hit
OTU604	SS|0.9200|FR733708_S002304665;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Microvirga;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	No hit
OTU605	SS|0.9800|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU609	SS|1.0000|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU610	SS|0.8200|JQ436923_S003312544;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Endobacter;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU614	SS|0.9400|EU728658_S001416717;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae	No hit
OTU615	SS|1.0000|CP000481_S002287801;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Acidothermaceae,g:Acidothermus;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU617	SS|0.8900|AB231946_S000622839;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiales_incertae_sedis,g:Alsobacter;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	No hit
OTU618	SS|0.8800|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU632	SS|0.9000|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU634	SS|1.0000|AJ582044_S000144746;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	No hit
OTU636	SS|1.0000|KC139400_S003751210;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae,g:Micromonospora;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU640	SS|0.9700|DQ672568_S000712708;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Skermanella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU643	SS|1.0000|AB364585_S000978923;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Thermomonosporaceae,g:Actinoallomurus;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU649	SS|1.0000|JN315666_S002917787;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Streptosporangiaceae,g:Thermocatellispora;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU654	SS|0.9900|AJ535711_S000351836;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU655	SS|0.9600|FJ560750_S001328552;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiales_incertae_sedis,g:Bauldia;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU659	SS|0.9900|AB517669_S002164967;k:Bacteria,p:"Actinobacteria",c:Actinobacteria	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Acidimicrobiales,f:"Acidimicrobineae"_incertae_sedis,g:Aciditerrimonas;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria	No hit
OTU660	GS|97.6|GU322368_S001874579;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Pseudonocardiaceae,g:Pseudonocardia;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Pseudonocardiaceae,g:Pseudonocardia;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Pseudonocardiaceae,g:Pseudonocardia	No hit
OTU663	SS|0.8800|D86512_S000010801;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Acidisphaera;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	No hit
OTU668	SS|0.9400|JF423906_S002447326;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Gaiellales,f:Gaiellaceae,g:Gaiella	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Gaiellales,f:Gaiellaceae,g:Gaiella;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Gaiellales,f:Gaiellaceae,g:Gaiella	No hit
OTU669	SS|1.0000|AB196716_S000458169;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae,g:Micromonospora;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU671	SS|0.9600|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU672	SS|0.9700|AB517669_S002164967;k:Bacteria,p:"Actinobacteria",c:Actinobacteria	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Acidimicrobiales,f:"Acidimicrobineae"_incertae_sedis,g:Aciditerrimonas;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria	No hit
OTU674	SS|1.0000|DQ986200_S000736608;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae	k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,g:Aquisphaera;	k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae	No hit
OTU679	SS|0.9800|AF349724_S000392070;k:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Turicibacter	k:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Turicibacter;	k:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Turicibacter	No hit
OTU685	GS|98.0|EF457401_S000834826;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1	No hit
OTU700	SS|0.9800|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU705	SS|0.9100|EF457351_S000834776;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1	No hit
OTU709	SS|0.8600|JF423906_S002447326;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Gaiellales,f:Gaiellaceae,g:Gaiella	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Gaiellales,f:Gaiellaceae,g:Gaiella;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Gaiellales,f:Gaiellaceae,g:Gaiella	No hit
OTU715	SS|0.8300|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU720	SS|0.9300|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU727	SS|0.9200|FR733722_S002304679;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Pseudonocardiaceae,g:Pseudonocardia	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Pseudonocardiaceae,g:Pseudonocardia;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Pseudonocardiaceae,g:Pseudonocardia	No hit
OTU747	SS|1.0000|DQ672568_S000712708;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Skermanella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU752	SS|0.8200|JQ436923_S003312544;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Endobacter;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	No hit
OTU757	SS|0.8900|AJ535711_S000351836;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU760	GS|97.0|EF457396_S000834821;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1	No hit
OTU768	SS|1.0000|AJ292590_S000017652;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	No hit
OTU771	SS|1.0000|AB529446_S001743183;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae,g:Dactylosporangium;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU774	SS|0.8000|GQ421848_S001589377;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Microvirga;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	No hit
OTU777	SS|0.9500|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU779	SS|0.9800|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU780	SS|1.0000|CP000481_S002287801;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Acidothermaceae,g:Acidothermus;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU782	SS|0.9700|FJ805427_S001793839;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Pseudonocardiaceae,g:Pseudonocardia	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Pseudonocardiaceae,g:Pseudonocardia;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Pseudonocardiaceae,g:Pseudonocardia	No hit
OTU785	SS|0.9500|JF423906_S002447326;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Gaiellales,f:Gaiellaceae,g:Gaiella	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Gaiellales,f:Gaiellaceae,g:Gaiella;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Gaiellales,f:Gaiellaceae,g:Gaiella	No hit
OTU786	SS|0.9500|AJ563932_S000352294;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Beijerinckiaceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	No hit
OTU789	SS|1.0000|AB037007_S000383157;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Cryptosporangiaceae,g:Cryptosporangium;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU797	SS|0.9100|D25311_S000413603;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Rhodoplanes;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	No hit
OTU798	SS|0.9600|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU801	SS|0.9500|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU803	SS|1.0000|AJ582045_S000143121;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	No hit
OTU805	SS|1.0000|Y07646_S000115138;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	No hit
OTU806	SS|0.8800|AY180961_S000400217;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Komagataeibacter;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU813	SS|0.8100|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU816	SS|0.9900|AJ009957_S000012709;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Caulobacter;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae	No hit
OTU817	SS|0.9900|EU710748_S002350514;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Solirubrobacterales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Solirubrobacterales,f:Patulibacteraceae,g:Patulibacter;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Solirubrobacterales	No hit
